Mali,Mali,220 V,C / E
Malta,Malta,230 V,G
Marshall Islands,Marshall Islands,120 V,A / B
Martinique,Martinique,220 V,C / D / E
Mauritania,Mauritania,220 V,C
Mauritius,Mauritius,230 V,C / G
Mayotte,Mayotte,230 V,C / E
Mexico,Mexico,120 V,A / B
Moldova,Moldova,230 V,C / F
Monaco,Monaco,230 V,C / E / F
Mongolia,Mongolia,230 V,C / E
Montenegro,Montenegro,230 V,C / F
Montserrat,Montserrat,230 V,A / B
Morocco,Morocco,220 V,C / E
Mozambique,Mozambique,220 V,C / F / M
Myanmar ,Myanmar ,230 V,A / C / D / G / I
Namibia,Namibia,220 V,D / M
Nauru,Nauru,240 V,I
Nepal,Nepal,230 V,C / D / M
Netherlands,Netherlands,230 V,C / F
New Caledonia,New Caledonia,220 V,C / F
New Zealand,New Zealand,230 V,I
Nicaragua,Nicaragua,120 V,A / B
Niger,Niger,220 V,C / D / E / F
Nigeria,Nigeria,230 V,D / G
Niue,Niue,230 V,I
Northern Ireland,Northern Ireland,230 V,G
Norway,Norway,230 V,C / F
Oman,Oman,240 V,G
Pakistan,Pakistan,230 V,C / D
Palau,Palau,120 V,A / B
Panama,Panama,120 V,A / B
Papua New Guinea,Papua New Guinea,240 V,I
Paraguay,Paraguay,220 V,C
Peru,Peru,220 V,A / C
Philippines,Philippines,220 V,A / B / C
Pitcairn Islands,Pitcairn Islands,230 V,I
Poland,Poland,230 V,C / E
Portugal,Portugal,230 V,C / F
Puerto Rico,Puerto Rico,120 V,A / B
Qatar,Qatar,240 V,G
Romania,Romania,230 V,C / F
Russia,Russia,220 V,C / F
Rwanda,Rwanda,230 V,C / J
Saba,Saba,110 V,A / B
Saint Kitts and Nevis,Saint Kitts and Nevis,230 V,D / G
Saint Lucia,Saint Lucia,230 V,G
Saint Martin,Saint Martin,220 V,C / E
Saint Helena,Saint Helena,230 V,G
Sint Eustatius,Sint Eustatius,110 V / 220 V,A / B / C / F
Sint Maarten,Sint Maarten,110 V,A / B
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,110 V / 230 V,A / B / G
Samoa,Samoa,230 V,I
San Marino,San Marino,230 V,C / F / L
Saudi Arabia,Saudi Arabia,230 V,G
Scotland,Scotland,230 V,G
Senegal,Senegal,230 V,C / D / E / K
Serbia,Serbia,230 V,C / F
Seychelles,Seychelles,240 V,G
Sierra Leone,Sierra Leone,230 V,D / G
Singapore,Singapore,230 V,G
Slovakia,Slovakia,230 V,C / E
Slovenia,Slovenia,230 V,C / F
Solomon Islands,Solomon Islands,230 V,G / I
Somalia,Somalia,220 V,C
Somaliland,Somaliland,220 V,C
South Africa,South Africa,230 V,C / M / N (still rare)
South Korea,South Korea,220 V,F
South Sudan,South Sudan,230 V,C / D
Spain,Spain,230 V,C / F
Sri Lanka,Sri Lanka,230 V,D / G
Sudan,Sudan,230 V,C / D
Suriname,Suriname,127 V / 230 V,A / B / C / F
Swaziland,Swaziland,230 V,M
Sweden,Sweden,230 V,C / F
Switzerland,Switzerland,230 V,C / J
Syria,Syria,220 V,C / E / L
Tahiti,Tahiti,220 V,C / E
Taiwan,Taiwan,110 V,A / B
Tajikistan,Tajikistan,220 V,C / F
Tanzania,Tanzania,230 V,D / G
Thailand,Thailand,230 V,A / B / C / O
Togo,Togo,220 V,C
Tokelau,Tokelau,230 V,I
Tonga,Tonga,240 V,I
Trinidad & Tobago,Trinidad & Tobago,115 V,A / B
Tunisia,Tunisia,230 V,C / E
Turkey,Turkey,230 V,C / F
Turkmenistan,Turkmenistan,220 V,C / F
Turks and Caicos Islands,Turks and Caicos Islands,120 V,A / B
Tuvalu,Tuvalu,230 V,I
Uganda,Uganda,240 V,G
Ukraine,Ukraine,230 V,C / F
United Arab Emirates,United Arab Emirates,230 V,G
United Kingdom,United Kingdom,230 V,G
United States of America,United States of America,120 V,A / B
United States Virgin Islands,United States Virgin Islands,110 V,A / B
Uruguay,Uruguay,220 V,C / F / L
Uzbekistan,Uzbekistan,220 V,C / F
Vanuatu,Vanuatu,230 V,I
Vatican City,Vatican City,230 V,C / F / L
Venezuela,Venezuela,120 V,A / B
Vietnam,Vietnam,220 V,A / B / C
Virgin Islands ,Virgin Islands ,110 V,A / B
Wales,Wales,230 V,G
Yemen,Yemen,230 V,A / D / G
Zambia,Zambia,230 V,C / D / G
Zimbabwe,Zimbabwe,240 V,D / G
